Time,True_X,True_Y,True_Z,Est_X,Est_Y,Est_Z
4.2,-2.3145824503884976e-16,-1.260000000000001,-0.42312868930080494,-1.1152505161141626,-2.4238223759557656,-0.43108842642119183
4.3,-2.3696915563501285e-16,-1.290000000000001,-0.43466890727711843,-1.0515696840325444,-2.662022842312834,-0.4661430374314313
4.4,-2.4248006623117594e-16,-1.320000000000001,-0.4461803398874993,-0.9897609481468415,-2.9034905042612698,-0.486223021066753
4.5,-2.4799097682733903e-16,-1.350000000000001,-0.4576536686473021,-0.9167604219319979,-3.133646777067399,-0.49485033436767617
4.6000000000000005,-2.535018874235021e-16,-1.380000000000001,-0.4690798099947913,-0.8221886194705494,-3.341493548369154,-0.5058735263109758
4.7,-2.590127980196652e-16,-1.410000000000001,-0.4804499712943193,-0.7122587794627641,-3.5259879833051193,-0.5224504960716687
4.800000000000001,-2.645237086158283e-16,-1.440000000000001,-0.49175570504584987,-0.5952451918281062,-3.6921801615154135,-0.5430954171050815
4.9,-2.700346192119914e-16,-1.470000000000001,-0.5029889609666041,-0.4745241234570388,-3.8475546310708184,-0.5764577496616112
5.0,-2.755455298081545e-16,-1.500000000000001,-0.5141421356237312,0.2534084298261865,-3.413698139579423,-0.6002014470099413
5.1000000000000005,-2.8105644040431757e-16,-1.5300000000000011,-0.525208119312001,0.38710045837439366,-3.57553093138516,-0.6234679448739316
5.2,-2.8656735100048066e-16,-1.5600000000000012,-0.5361803398874992,0.5118332881283137,-3.7182164361212546,-0.6521219805528151
5.300000000000001,-2.9207826159664375e-16,-1.5900000000000012,-0.5470528032870822,0.6315913348760998,-3.848372444109477,-0.671435238237184
5.4,-2.9758917219280684e-16,-1.6200000000000012,-0.5578201304837678,0.7463436616645578,-3.9697404198381316,-0.6892915258052056
5.5,-3.0310008278896993e-16,-1.6500000000000012,-0.5684775906502261,0.8585091066271564,-4.086239584478057,-0.7087868312693515
5.6000000000000005,-3.08610993385133e-16,-1.6800000000000013,-0.5790211303259034,0.9707164060178712,-4.20003852449562,-0.7369192133865025
5.7,-3.141219039812961e-16,-1.7100000000000013,-0.5894473984079539,1.0833156597450337,-4.312354881030981,-0.7545838514963856
5.800000000000001,-3.196328145774592e-16,-1.7400000000000013,-0.5997537668119032,1.1975117714939225,-4.41991742899685,-0.7728358248658654
5.9,-3.251437251736223e-16,-1.7700000000000014,-0.609938346674663,1.315632778007359,-4.519265917648471,-0.7924904565290638
6.0,-3.3065463576978537e-16,-1.8000000000000014,-0.6200000000000004,1.1193508581002392,-4.0227768591090305,-0.8122427455705901
6.1000000000000005,-3.3616554636594846e-16,-1.8300000000000014,-0.629938346674663,1.328885325756277,-4.1093499013645225,-0.8427775014326017
6.2,-3.4167645696211155e-16,-1.8600000000000014,-0.6397537668119032,1.564589683044448,-4.187691938492631,-0.8405148834801287
6.300000000000001,-3.4718736755827464e-16,-1.8900000000000015,-0.649447398407954,1.8207346918365979,-4.284264046141524,-0.8345206333159286
6.4,-3.5269827815443773e-16,-1.9200000000000015,-0.6590211303259035,2.060304122392867,-4.408074809185382,-0.7949186118586455
6.5,-3.582091887506008e-16,-1.9500000000000015,-0.6684775906502262,2.26220476139225,-4.542536726769391,-0.7849905496778746
6.6000000000000005,-3.637200993467639e-16,-1.9800000000000015,-0.6778201304837679,2.4349920010386192,-4.673363360575246,-0.7765510547863619
6.7,-3.69231009942927e-16,-2.0100000000000016,-0.6870528032870823,2.596335508435579,-4.794312028913392,-0.8033648215420018
6.800000000000001,-3.747419205390901e-16,-2.0400000000000014,-0.6961803398874994,2.757335018233853,-4.905905079469955,-0.8532842784411538
6.9,-3.802528311352532e-16,-2.070000000000001,-0.7052081193120011,2.925011491476106,-5.004805925163727,-0.913997945743554
7.0,-3.8576374173141627e-16,-2.100000000000001,-0.7141421356237314,2.6170165090942765,-4.51907809060824,-0.9728065549445517
7.1000000000000005,-3.9127465232757936e-16,-2.130000000000001,-0.7229889609666041,2.812924265535317,-4.611028619594794,-1.0184837972932352
