Time(s),True Position X(m),True Position Y(m),True Position Z(m),TRUKF Estimated Position X(m),TRUKF Estimated Position Y(m),TRUKF Estimated Position Z(m)
5.542000000000000455e+02,3.186509425201381518e+01,-1.315256284628787142e+01,-3.050246233188032452e+00,3.196285899649006979e+01,-1.486342727722121460e+01,-3.085622840035151970e+00
5.543000000000000682e+02,3.186509425201381518e+01,-1.312256284628787029e+01,-3.040552601591981929e+00,3.196326497584146509e+01,-1.486109118112728744e+01,-3.105621434444711504e+00
5.543999999999999773e+02,3.186509425201381518e+01,-1.309256284628787093e+01,-3.030978869674032072e+00,3.196353613033062757e+01,-1.485952559014618402e+01,-3.125620803284783200e+00
5.545000000000000000e+02,3.186509425201381518e+01,-1.306256284628787157e+01,-3.021522409349709726e+00,3.196371887486897734e+01,-1.485847769414985642e+01,-3.145620520412386156e+00
5.546000000000000227e+02,3.186509425201381518e+01,-1.303256284628787043e+01,-3.012179869516168562e+00,3.196384264139494391e+01,-1.485777786743740947e+01,-3.165620394143092931e+00
5.547000000000000455e+02,3.186509425201381518e+01,-1.300256284628786929e+01,-3.002947196712854261e+00,3.196392312242987188e+01,-1.485731209002138975e+01,-3.185620338286565101e+00
5.548000000000000682e+02,3.186509425201381518e+01,-1.297256284628786993e+01,-2.993819660112437386e+00,3.196397643056390336e+01,-1.485700388079344769e+01,-3.205620313827878931e+00
5.548999999999999773e+02,3.186509425201381518e+01,-1.294256284628787057e+01,-2.984791880687935439e+00,3.196401100105784465e+01,-1.485679864427218888e+01,-3.225620302998588595e+00
5.550000000000000000e+02,3.186509425201381518e+01,-1.291256284628786943e+01,-2.975857864376205697e+00,3.206277757729726119e+01,-1.462867879434010021e+01,-2.980509539882519654e+00
5.551000000000000227e+02,3.186509425201381518e+01,-1.288256284628786830e+01,-2.967011039033333297e+00,3.206283951229615070e+01,-1.462796130194359279e+01,-2.974373620155129849e+00
5.552000000000000455e+02,3.186509425201381518e+01,-1.285256284628786894e+01,-2.958244294954087916e+00,3.206288312264246798e+01,-1.462748149195141778e+01,-2.994373562125173027e+00
5.553000000000000682e+02,3.186509425201381518e+01,-1.282256284628786958e+01,-2.949550028705619553e+00,3.206291443114451312e+01,-1.462715890088104587e+01,-3.014373535863850595e+00
5.553999999999999773e+02,3.186509425201381518e+01,-1.279256284628786844e+01,-2.940920190005145596e+00,3.206293796192962731e+01,-1.462694097481159083e+01,-3.034373523852479604e+00
5.555000000000000000e+02,3.186509425201381518e+01,-1.276256284628786730e+01,-2.932346331352635893e+00,3.206295712612936910e+01,-1.462679562189476101e+01,-3.054373518478794569e+00
5.556000000000000227e+02,3.186509425201381518e+01,-1.273256284628786794e+01,-2.923819660112438878e+00,3.206297166592279524e+01,-1.462669403754150643e+01,-3.074373515846097860e+00
5.557000000000000455e+02,3.186509425201381518e+01,-1.270256284628786858e+01,-2.915331092722821094e+00,3.206298339889304572e+01,-1.462662189306217542e+01,-3.094373514510475598e+00
5.558000000000000682e+02,3.186509425201381518e+01,-1.267256284628786744e+01,-2.906871310699134625e+00,3.206299377845158460e+01,-1.462656734126212932e+01,-3.114373513739566945e+00
5.558999999999999773e+02,3.186509425201381518e+01,-1.264256284628786631e+01,-2.898430818085381500e+00,3.206300440109279748e+01,-1.462652516084195931e+01,-3.134373513266559996e+00
5.560000000000000000e+02,3.186509425201381518e+01,-1.261256284628786695e+01,-2.889999999999938396e+00,3.194162106301980941e+01,-1.452253751285504180e+01,-2.872910392687180625e+00
5.561000000000000227e+02,3.186509425201381518e+01,-1.258256284628786759e+01,-2.881569181914495292e+00,3.194318170351326103e+01,-1.451766806367183271e+01,-2.886316324098947117e+00
