Time(s),True Position X(m),True Position Y(m),True Position Z(m),UKF Estimated Position X(m),UKF Estimated Position Y(m),UKF Estimated Position Z(m)
8.010000000000000853e+01,9.913455065144358258e+00,-1.160844295322521980e+01,-5.988430818085359597e+00,1.153399913819342260e+01,-1.019622540871063165e+01,-5.948941111958369277e+00
8.020000000000000284e+01,9.960882897558605009e+00,-1.156920767920337667e+01,-5.986871310699112492e+00,1.161713272895089943e+01,-1.013245341444974201e+01,-5.949177643244315306e+00
8.030000000000001137e+01,1.000828276625354718e+01,-1.153007791434870732e+01,-5.985331092722798729e+00,1.170030050859901394e+01,-1.006938371425298584e+01,-5.949521784357049370e+00
8.040000000000000568e+01,1.005565453816099541e+01,-1.149105409806523426e+01,-5.983819660112417615e+00,1.178349428553193690e+01,-1.000700764360968265e+01,-5.949977702042737349e+00
8.050000000000000000e+01,1.010299808029164481e+01,-1.145213666856723123e+01,-5.982346331352615287e+00,1.186670374193734290e+01,-9.945309443755242285e+00,-5.950545212858170174e+00
8.060000000000000853e+01,1.015031325973543197e+01,-1.141332606287432228e+01,-5.980920190005125647e+00,1.194992111442499549e+01,-9.884280572891917416e+00,-5.951223509772162856e+00
8.070000000000000284e+01,1.019759994366193112e+01,-1.137462271680655235e+01,-5.979550028705597597e+00,1.203314876303792857e+01,-9.823908020918310058e+00,-5.952010763780112512e+00
8.080000000000001137e+01,1.024485799932069341e+01,-1.133602706497951651e+01,-5.978244294954067506e+00,1.211640227037884898e+01,-9.764176694450206639e+00,-5.952906131751923624e+00
8.090000000000000568e+01,1.029208729404166256e+01,-1.129753954079945544e+01,-5.977011039033312656e+00,1.219968791836902255e+01,-9.705070895012859467e+00,-5.953910418287822637e+00
8.100000000000000000e+01,1.033928769523550883e+01,-1.125916057645840951e+01,-5.975857864376186157e+00,1.196481452200308659e+01,-9.856763273368086331e+00,-5.937254092302529429e+00
8.110000000000000853e+01,1.038645907039401983e+01,-1.122089060292935336e+01,-5.974791880687916112e+00,1.205246575429183054e+01,-9.790416167025888683e+00,-5.939311692409336985e+00
8.120000000000000284e+01,1.043360128709047707e+01,-1.118273004996135533e+01,-5.973819660112417829e+00,1.214040741163850612e+01,-9.724284671326074658e+00,-5.941477153716594017e+00
8.130000000000001137e+01,1.048071421298000594e+01,-1.114467934607476707e+01,-5.972947196712834916e+00,1.222863521104920892e+01,-9.658358956864155687e+00,-5.943748672750277962e+00
8.140000000000000568e+01,1.052779771579997714e+01,-1.110673891855638651e+01,-5.972179869516149431e+00,1.231714972763456473e+01,-9.592630597201129206e+00,-5.946125679336201841e+00
8.150000000000000000e+01,1.057485166337034954e+01,-1.106890919345468483e+01,-5.971522409349691252e+00,1.240596128629085371e+01,-9.527094166081194970e+00,-5.948610137767975203e+00
8.160000000000000853e+01,1.062187592359406629e+01,-1.103119059557500137e+01,-5.970978869674013367e+00,1.249507771075580109e+01,-9.461746885720774713e+00,-5.951201492039281504e+00
8.170000000000000284e+01,1.066887036445739945e+01,-1.099358354847479191e+01,-5.970552601591963437e+00,1.258450036583074905e+01,-9.396590183719105482e+00,-5.953902556229170528e+00
8.180000000000001137e+01,1.071583485403034608e+01,-1.095608847445885559e+01,-5.970246233188014173e+00,1.267423136322754118e+01,-9.331631950531455999e+00,-5.956715241934194438e+00
8.190000000000000568e+01,1.076276926046698179e+01,-1.091870579457460622e+01,-5.970061653325253737e+00,1.276427826171846647e+01,-9.266877394099878984e+00,-5.959637261479571180e+00
8.200000000000000000e+01,1.080967345200583551e+01,-1.088143592860733655e+01,-5.969999999999917151e+00,1.206128132600699843e+01,-9.837377721058507163e+00,-5.928470536991373052e+00
8.210000000000000853e+01,1.085654729697026433e+01,-1.084427929507550026e+01,-5.970061653325253737e+00,1.214756922679753615e+01,-9.769366034950962785e+00,-5.929044418355225332e+00
8.220000000000000284e+01,1.090339066376881583e+01,-1.080723631122602590e+01,-5.970246233188014173e+00,1.223422175714891580e+01,-9.701266792617609269e+00,-5.929715134003771482e+00
8.230000000000001137e+01,1.095020342089559762e+01,-1.077030739302962203e+01,-5.970552601591963437e+00,1.232124426497374969e+01,-9.633066977185322344e+00,-5.930483299670385122e+00
8.240000000000000568e+01,1.099698543693065567e+01,-1.073349295517610535e+01,-5.970978869674013367e+00,1.240863522938391839e+01,-9.564754355766044824e+00,-5.931349902510696381e+00
8.250000000000000000e+01,1.104373658054033314e+01,-1.069679341106974491e+01,-5.971522409349691252e+00,1.249639440418234670e+01,-9.496315569772718845e+00,-5.932315523588371775e+00
8.260000000000000853e+01,1.109045672047764874e+01,-1.066020917282462399e+01,-5.972179869516149431e+00,1.258452597455616484e+01,-9.427741572447846607e+00,-5.933380245791774144e+00
8.270000000000000284e+01,1.113714572558265026e+01,-1.062374065126001099e+01,-5.972947196712834916e+00,1.267302702411810600e+01,-9.359023334254015225e+00,-5.934545882564915331e+00
8.280000000000001137e+01,1.118380346478279286e+01,-1.058738825589574795e+01,-5.973819660112417829e+00,1.276189574513053060e+01,-9.290156694048725683e+00,-5.935813070409388104e+00
8.290000000000000568e+01,1.123042980709331928e+01,-1.055115239494763024e+01,-5.974791880687916112e+00,1.285113903803245705e+01,-9.221148902877267517e+00,-5.937182364469727247e+00
8.300000000000000000e+01,1.127702462161759911e+01,-1.051503347532286270e+01,-5.975857864376186157e+00,1.245402266742484976e+01,-9.585956223966057621e+00,-5.931193621377730985e+00
8.310000000000000853e+01,1.132358777754751777e+01,-1.047903190261546058e+01,-5.977011039033312656e+00,1.254464391196221840e+01,-9.516412951670993436e+00,-5.931512541732566035e+00
8.320000000000000284e+01,1.137011914416383718e+01,-1.044314808110170034e+01,-5.978244294954067506e+00,1.263580255546347786e+01,-9.446638685095315680e+00,-5.931924182436095094e+00
8.330000000000001137e+01,1.141661859083656338e+01,-1.040738241373558637e+01,-5.979550028705597597e+00,1.272751536636764058e+01,-9.376647795614807990e+00,-5.932427954099207312e+00
8.340000000000000568e+01,1.146308598702531789e+01,-1.037173530214431416e+01,-5.980920190005125647e+00,1.281979727358300636e+01,-9.306455601368156749e+00,-5.933019178125675808e+00
8.350000000000000000e+01,1.150952120227968400e+01,-1.033620714662378504e+01,-5.982346331352615287e+00,1.291266141543350443e+01,-9.236074477964439922e+00,-5.933700519812706631e+00
8.360000000000000853e+01,1.155592410623960831e+01,-1.030079834613407286e+01,-5.983819660112417615e+00,1.300610657389810143e+01,-9.165509164717835944e+00,-5.934469329590200459e+00
8.370000000000000284e+01,1.160229456863572928e+01,-1.026550929829498315e+01,-5.985331092722798729e+00,1.310012985991713919e+01,-9.094756794304931447e+00,-5.935323749156964368e+00
8.380000000000001137e+01,1.164863245928977165e+01,-1.023034039938156070e+01,-5.986871310699112492e+00,1.319473840732008085e+01,-9.023815763606524598e+00,-5.936267940881005956e+00
8.390000000000000568e+01,1.169493764811489633e+01,-1.019529204431965219e+01,-5.988430818085359597e+00,1.328993011254561196e+01,-8.952686082767666420e+00,-5.937301855431659448e+00
8.400000000000000000e+01,1.174121000511606816e+01,-1.016036462668147067e+01,-5.989999999999916724e+00,1.323311759761124584e+01,-8.903799580798070323e+00,-5.941274567146928476e+00
8.410000000000000853e+01,1.178744940039042710e+01,-1.012555853868116884e+01,-5.991569181914473852e+00,1.333019910061161539e+01,-8.826010978653425099e+00,-5.939946185267015011e+00
8.420000000000000284e+01,1.183365570412764534e+01,-1.009087417117044083e+01,-5.993128689300720957e+00,1.342790834736269545e+01,-8.747819033565715330e+00,-5.938693321348736731e+00
8.430000000000001137e+01,1.187982878661029140e+01,-1.005631191363413635e+01,-5.994668907277034720e+00,1.352624406649103150e+01,-8.669224462010436838e+00,-5.937520275296879646e+00
8.440000000000000568e+01,1.192596851821420678e+01,-1.002187215418587662e+01,-5.996180339887415833e+00,1.362520895201372184e+01,-8.590227061765084215e+00,-5.936426674877584020e+00
8.450000000000000000e+01,1.197207476940885051e+01,-9.987555279563707700e+00,-5.997653668647218161e+00,1.372480255016525064e+01,-8.510827882940979805e+00,-5.935411609287331913e+00
8.460000000000000853e+01,1.201814741075768289e+01,-9.953361675125746544e+00,-5.999079809994707801e+00,1.382502661724753068e+01,-8.431026299658146428e+00,-5.934476473149238984e+00
8.470000000000000284e+01,1.206418631291851007e+01,-9.919291724845862745e+00,-6.000449971294235851e+00,1.392588051243705394e+01,-8.350829610724343155e+00,-5.933622764101638580e+00
8.480000000000001137e+01,1.211019134664385888e+01,-9.885345811309361963e+00,-6.001755705045765943e+00,1.402736406361294286e+01,-8.270246279545350632e+00,-5.932848996662105634e+00
8.490000000000000568e+01,1.215616238278133920e+01,-9.851524315708692470e+00,-6.002988960966520793e+00,1.412948434334103354e+01,-8.189285438226008296e+00,-5.932156065521255073e+00
8.500000000000000000e+01,1.220209929227400103e+01,-9.817827617839162357e+00,-6.004142135623647292e+00,1.376570175619061231e+01,-8.507763394067767493e+00,-5.952973442103547619e+00
8.510000000000000853e+01,1.224800194616070570e+01,-9.784256096094670951e+00,-6.005208119311917336e+00,1.385953074923819628e+01,-8.435104549835060084e+00,-5.950750131289492373e+00
8.520000000000000284e+01,1.229387021557647230e+01,-9.750810127463472199e+00,-6.006180339887415620e+00,1.395372872274173659e+01,-8.362350504228924564e+00,-5.948593689110502680e+00
8.530000000000001137e+01,1.233970397175285960e+01,-9.717490087523923847e+00,-6.007052803286998532e+00,1.404828408922772098e+01,-8.289519467279951925e+00,-5.946504594335987548e+00
8.540000000000000568e+01,1.238550308601830885e+01,-9.684296350440289913e+00,-6.007820130483684018e+00,1.414318529622753573e+01,-8.216633594946475938e+00,-5.944479444136764101e+00
8.550000000000000000e+01,1.243126742979851862e+01,-9.651229288958520058e+00,-6.008477590650142197e+00,1.423841580775537352e+01,-8.143711988065227558e+00,-5.942520048487462958e+00
8.560000000000000853e+01,1.247699687461680007e+01,-9.618289274402071598e+00,-6.009021130325820081e+00,1.433396623649922930e+01,-8.070763652630009943e+00,-5.940629248160639975e+00
8.570000000000000284e+01,1.252269129209443577e+01,-9.585476676667747498e+00,-6.009447398407870011e+00,1.442982641911875419e+01,-7.997790146964117497e+00,-5.938803603190557112e+00
8.580000000000001137e+01,1.256835055395104384e+01,-9.552791864221527263e+00,-6.009753766811819276e+00,1.452598372689038797e+01,-7.924790056458640208e+00,-5.937039587186589529e+00
8.590000000000000568e+01,1.261397453200493679e+01,-9.520235204094449344e+00,-6.009938346674579712e+00,1.462243061121352383e+01,-7.851757167329182607e+00,-5.935339591193510955e+00
8.600000000000000000e+01,1.265956309817347858e+01,-9.487807061878463344e+00,-6.009999999999916298e+00,1.464862815790090167e+01,-7.799080630826282778e+00,-5.961671385386551947e+00
8.610000000000000853e+01,1.270511612447345229e+01,-9.455507801722346173e+00,-6.009938346674579712e+00,1.474654490860418576e+01,-7.726415982311319652e+00,-5.960628929428143152e+00
8.620000000000000284e+01,1.275063348302141009e+01,-9.423337786327609322e+00,-6.009753766811819276e+00,1.484472632421998384e+01,-7.653695298840524686e+00,-5.959658347128335976e+00
8.630000000000001137e+01,1.279611504603403560e+01,-9.391297376944413244e+00,-6.009447398407870011e+00,1.494314795332252288e+01,-7.580916369432152635e+00,-5.958763504889269313e+00
8.640000000000000568e+01,1.284156068582850452e+01,-9.359386933367529693e+00,-6.009021130325820081e+00,1.504178374068739998e+01,-7.508079819392651899e+00,-5.957944942914267017e+00
8.650000000000000000e+01,1.288697027482284341e+01,-9.327606813932284524e+00,-6.008477590650142197e+00,1.514061049005827186e+01,-7.435183964394873612e+00,-5.957197944012815327e+00
8.660000000000000853e+01,1.293234368553628322e+01,-9.295957375510544907e+00,-6.007820130483684018e+00,1.523959948735367931e+01,-7.362227201351004169e+00,-5.956520218524428145e+00
8.670000000000000284e+01,1.297768079058962165e+01,-9.264438973506702979e+00,-6.007052803286998532e+00,1.533871531235093499e+01,-7.289210415297041834e+00,-5.955909000355880778e+00
8.680000000000001137e+01,1.302298146270557666e+01,-9.233051961853698586e+00,-6.006180339887415620e+00,1.543793049631135972e+01,-7.216136350740661953e+00,-5.955363920942122746e+00
8.690000000000000568e+01,1.306824557470915238e+01,-9.201796693009026029e+00,-6.005208119311917336e+00,1.553721785378833431e+01,-7.142999046596596457e+00,-5.954886986020721196e+00
8.700000000000000000e+01,1.311347299952798195e+01,-9.170673517950792331e+00,-6.004142135623648180e+00,1.457891229510302189e+01,-8.078335317026480666e+00,-5.956523330311233266e+00
8.710000000000000853e+01,1.315866361019270236e+01,-9.139682786173764839e+00,-6.002988960966519905e+00,1.467237990791565494e+01,-8.013772242092336739e+00,-5.954268634423957707e+00
8.720000000000000284e+01,1.320381727983728837e+01,-9.108824845685461469e+00,-6.001755705045765943e+00,1.476589560304909554e+01,-7.949258632197086172e+00,-5.952066863484233750e+00
8.730000000000001137e+01,1.324893388169943442e+01,-9.078100043002217845e+00,-6.000449971294235851e+00,1.485944842076016670e+01,-7.884810315936825020e+00,-5.949919845950361719e+00
8.740000000000000568e+01,1.329401328912089042e+01,-9.047508723145321952e+00,-5.999079809994707801e+00,1.495302719713468775e+01,-7.820455933277980165e+00,-5.947825411006562035e+00
8.750000000000000000e+01,1.333905537554782050e+01,-9.017051229637129239e+00,-5.997653668647219050e+00,1.504662796815743775e+01,-7.756225591485648607e+00,-5.945785480519585775e+00
