时间戳,真实位置X(m),真实位置Y(m),真实位置Z(m),EKF估计位置X(m),EKF估计位置Y(m),EKF估计位置Z(m),真实速度X(m/s),真实速度Y(m/s),真实速度Z(m/s),EKF估计速度X(m/s),EKF估计速度Y(m/s),EKF估计速度Z(m/s)
1.010000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.966690729325058129e+01,-7.781552528784642320e+00,-8.979542495118614243e-02,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,4.057913719309768630e-01,-7.866266424345118580e-01,-2.020143298545355737e-02
1.011000000000000000e+03,0.000000000000000000e+00,-1.111949263638185303e-01,0.000000000000000000e+00,1.929683916053612336e+01,-9.216107624352783745e+00,-2.578268082692147800e-01,0.000000000000000000e+00,-1.000000000000000021e-02,-0.000000000000000000e+00,9.374292312325316345e-01,-4.391887525576533058e+00,-3.071167841740801707e-02
1.012000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.027741608472617330e+01,-8.390116934403424764e+00,-2.864009405857273483e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,2.356254892435506232e+00,-1.508852784615967613e+00,3.995597526182572690e-01
1.013000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.911083892692266062e+01,-8.170689766419689803e+00,1.486918240348040765e-01,0.000000000000000000e+00,-1.000000000000000021e-02,-0.000000000000000000e+00,-1.024147852997000022e-02,-2.123175669626188089e+00,3.933724423888160238e-01
1.014000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.975157016833777490e+01,-8.816922361401324792e+00,-6.678689417968806941e-03,-0.000000000000000000e+00,-1.000000000000000021e-02,0.000000000000000000e+00,1.564610387781480538e+00,-3.896157301504814541e+00,-1.657522911573535151e-01
1.015000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.023306293782826160e+01,-7.331184439184633916e+00,5.277837124473555575e-02,1.000000000000000021e-02,-0.000000000000000000e+00,0.000000000000000000e+00,1.881592914055249199e+00,-7.970817373553672480e-01,2.725471297914620061e-01
1.016000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.869219337502901368e+01,-8.200380826724947170e+00,-2.757476165438678406e-02,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-2.404021784348291391e-01,-2.881789812969655973e+00,2.812538673621606811e-01
1.017000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.968257881657450170e+01,-8.497815003534835654e+00,-7.757094296674255096e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,2.215092364322015506e+00,-2.750303846906128946e+00,-4.193952178824603694e-01
1.018000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.929632531314362609e+01,-6.751992224983511370e+00,4.041047535249775446e-02,1.000000000000000021e-02,-0.000000000000000000e+00,-0.000000000000000000e+00,9.863274597428192125e-01,-2.889164859017026576e-01,2.347437301271096399e-01
1.019000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.855610183415579328e+01,-7.923166396684357515e+00,-1.927981310342737897e-01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,3.750304755364956832e-02,-4.133788602948127888e+00,-2.628100509195591475e-02
