时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),TRUKF估计位置X(m),TRUKF估计位置Y(m),TRUKF估计位置Z(m)
6.811000000000000000e+03,-5.315640828522447919e+03,-3.281473480207505872e+03,0.000000000000000000e+00,1.235968123720858557e+03,-2.373942933127426841e+03,-3.261768281602130809e-02
6.812000000000000000e+03,-5.315547327250435956e+03,-3.281473480207505872e+03,0.000000000000000000e+00,1.244789474613065977e+03,-2.369352309474555568e+03,4.028302962334023157e-02
6.813000000000000000e+03,-5.315547327250435956e+03,-3.281473480207505872e+03,0.000000000000000000e+00,1.253581903996525398e+03,-2.364736833100741023e+03,6.688159545563661379e-02
6.814000000000000000e+03,-5.315453825978425812e+03,-3.281584675133869951e+03,0.000000000000000000e+00,1.262347472134063082e+03,-2.360095360075877124e+03,9.743800527005208600e-02
6.815000000000000000e+03,-5.315453825978425812e+03,-3.281584675133869951e+03,0.000000000000000000e+00,1.271083349311125403e+03,-2.355421589656775268e+03,-1.461995624942357130e-01
6.816000000000000000e+03,-5.315360324706413849e+03,-3.281584675133869951e+03,0.000000000000000000e+00,1.279621161203391694e+03,-2.350833636575502169e+03,-2.484566247265845573e-01
6.817000000000000000e+03,-5.315360324706413849e+03,-3.281584675133869951e+03,0.000000000000000000e+00,1.288280027203688178e+03,-2.346117158357027165e+03,6.454888489723180356e-02
6.818000000000000000e+03,-5.315266823434403705e+03,-3.281695870060233574e+03,0.000000000000000000e+00,1.296987722952693730e+03,-2.341337563602906812e+03,-4.127059197172402299e-02
6.819000000000000000e+03,-5.315266823434403705e+03,-3.281695870060233574e+03,0.000000000000000000e+00,1.305647890901650953e+03,-2.336540268968694818e+03,8.026785816143341967e-02
6.820000000000000000e+03,-5.315266823434403705e+03,-3.281695870060233574e+03,0.000000000000000000e+00,1.314224967090495284e+03,-2.331756287670243637e+03,1.854008148886621687e-01
6.821000000000000000e+03,-5.315173322161062970e+03,-3.281695870060233574e+03,0.000000000000000000e+00,1.322727225505979959e+03,-2.326953590712126697e+03,-2.248756968627010910e-01
6.822000000000000000e+03,-5.315173322161062970e+03,-3.281807064987387093e+03,0.000000000000000000e+00,1.331348209051881440e+03,-2.322046740635485548e+03,1.057964569138265254e-01
6.823000000000000000e+03,-5.315079820889052826e+03,-3.281807064987387093e+03,0.000000000000000000e+00,1.339982183033313731e+03,-2.317105180970881520e+03,1.028122209662130360e-01
6.824000000000000000e+03,-5.315173322161062970e+03,-3.281807064987387093e+03,0.000000000000000000e+00,1.348599188489832841e+03,-2.312130181661790175e+03,1.016231592365942349e-01
6.825000000000000000e+03,-5.315079820889052826e+03,-3.281918259913751172e+03,0.000000000000000000e+00,1.357181269124624350e+03,-2.307124134596898330e+03,-1.244823278240127368e-01
6.826000000000000000e+03,-5.315079820889052826e+03,-3.281918259913751172e+03,0.000000000000000000e+00,1.365646415911111035e+03,-2.302142267465260829e+03,8.022477908252645395e-02
6.827000000000000000e+03,-5.314986319617041772e+03,-3.281918259913751172e+03,0.000000000000000000e+00,1.374102781991452048e+03,-2.297134349640610708e+03,1.804585960264041555e-01
6.828000000000000000e+03,-5.314986319617041772e+03,-3.281918259913751172e+03,0.000000000000000000e+00,1.382611945742729404e+03,-2.292055717753974477e+03,9.013935464530370423e-02
6.829000000000000000e+03,-5.314986319617041772e+03,-3.282029454840905146e+03,0.000000000000000000e+00,1.391003485818673653e+03,-2.287003279757768269e+03,1.956543766436616427e-01
6.830000000000000000e+03,-5.314892818345030719e+03,-3.282029454840905146e+03,0.000000000000000000e+00,1.399448859887807203e+03,-2.281860901428559373e+03,-1.370893673381507194e-01
6.831000000000000000e+03,-5.314892818345030719e+03,-3.282029454840905146e+03,0.000000000000000000e+00,1.407824441942970680e+03,-2.276738081461834099e+03,-1.920161540068498207e-01
6.832000000000000000e+03,-5.314799317073019665e+03,-3.282029454840905146e+03,0.000000000000000000e+00,1.416201106993629310e+03,-2.271575877317359755e+03,-1.780736372111077215e-01
6.833000000000000000e+03,-5.314799317073019665e+03,-3.282140649767268314e+03,0.000000000000000000e+00,1.424492690553631064e+03,-2.266392277575370827e+03,1.950195867497997171e-01
6.834000000000000000e+03,-5.314705815799679840e+03,-3.282140649767268314e+03,0.000000000000000000e+00,1.432949780142915188e+03,-2.261077000136173865e+03,-6.389684691423702656e-02
6.835000000000000000e+03,-5.314705815799679840e+03,-3.282140649767268314e+03,0.000000000000000000e+00,1.441324091018729632e+03,-2.255768487015291157e+03,1.207736195042337368e-01
6.836000000000000000e+03,-5.314705815799679840e+03,-3.282140649767268314e+03,0.000000000000000000e+00,1.449760281668756079e+03,-2.250383000341529169e+03,2.708184920615828994e-02
6.837000000000000000e+03,-5.314612314527667877e+03,-3.282251844693632847e+03,0.000000000000000000e+00,1.458078058334676371e+03,-2.245027978029368114e+03,-2.900610824438921639e-02
6.838000000000000000e+03,-5.314612314527667877e+03,-3.282251844693632847e+03,0.000000000000000000e+00,1.466457179886219137e+03,-2.239589845025902832e+03,-5.197252739927511744e-02
6.839000000000000000e+03,-5.314518813255657733e+03,-3.282251844693632847e+03,0.000000000000000000e+00,1.474736335684070127e+03,-2.234173663611070424e+03,-8.362072370018730494e-02
6.840000000000000000e+03,-5.314518813255657733e+03,-3.282251844693632847e+03,0.000000000000000000e+00,1.482982694848350775e+03,-2.228734852381328437e+03,-5.974258017118309894e-02
6.841000000000000000e+03,-5.314518813255657733e+03,-3.282363039620786367e+03,0.000000000000000000e+00,1.491219223732744695e+03,-2.223252459796982748e+03,1.102991430060954459e-01
6.842000000000000000e+03,-5.314425311983645770e+03,-3.282363039620786367e+03,0.000000000000000000e+00,1.499504080382552502e+03,-2.217697470799601888e+03,7.318739498448392777e-02
6.843000000000000000e+03,-5.314518813255657733e+03,-3.282363039620786367e+03,0.000000000000000000e+00,1.507770276693850064e+03,-2.212112192542107550e+03,6.693872547992098243e-02
