时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),ESKF估计位置X(m),ESKF估计位置Y(m),ESKF估计位置Z(m)
2.375000000000000000e+03,-1.253665058289681610e+03,2.566378906955649200e+02,0.000000000000000000e+00,-1.162607811768556758e+03,2.865555082460171548e+02,6.824222894153970653e-01
2.376000000000000000e+03,-1.255909088823262664e+03,2.560819160629557132e+02,0.000000000000000000e+00,-1.162843216481901436e+03,2.865684141820487980e+02,6.986046291849563605e-01
2.377000000000000000e+03,-1.258246620630183543e+03,2.554147465031926174e+02,0.000000000000000000e+00,-1.163073904816899358e+03,2.865736642542091772e+02,7.177674360461316905e-01
2.378000000000000000e+03,-1.260584152435775650e+03,2.547475769426394834e+02,0.000000000000000000e+00,-1.163281803809236862e+03,2.865746057872551091e+02,7.393788144582124078e-01
2.379000000000000000e+03,-1.262828182969356476e+03,2.540804073828763592e+02,0.000000000000000000e+00,-1.163480314246877469e+03,2.865659240117055901e+02,7.597886712271658682e-01
2.380000000000000000e+03,-1.265165714776277582e+03,2.535244327494771142e+02,0.000000000000000000e+00,-1.163676142299035291e+03,2.865470492154159388e+02,7.800811097790100179e-01
2.381000000000000000e+03,-1.267409745309858636e+03,2.528572631897139900e+02,0.000000000000000000e+00,-1.185032786746000966e+03,2.807079358069625528e+02,8.033835406022843406e-01
2.382000000000000000e+03,-1.269653775843439462e+03,2.521900936299509226e+02,0.000000000000000000e+00,-1.185203204964477663e+03,2.806729789427159858e+02,8.125720979601231964e-01
2.383000000000000000e+03,-1.271991307650360113e+03,2.515229240701878552e+02,0.000000000000000000e+00,-1.185358738156214031e+03,2.806172837905911024e+02,8.216991318293217494e-01
2.384000000000000000e+03,-1.274235338183941167e+03,2.508557545104247595e+02,0.000000000000000000e+00,-1.185504932373310339e+03,2.805529842238719880e+02,8.298467596903624788e-01
2.385000000000000000e+03,-1.276479368717522220e+03,2.501885849506616921e+02,0.000000000000000000e+00,-1.185646361683358236e+03,2.804772157726691830e+02,8.357633576603255010e-01
2.386000000000000000e+03,-1.278723399252432046e+03,2.495214153908986248e+02,0.000000000000000000e+00,-1.185785363479173839e+03,2.804035685585297983e+02,8.365539074331317382e-01
2.387000000000000000e+03,-1.281060931058023698e+03,2.488542458311355006e+02,0.000000000000000000e+00,-1.185921669536818399e+03,2.803285884793402829e+02,8.376217803894967506e-01
2.388000000000000000e+03,-1.283304961591604979e+03,2.480758813442185442e+02,0.000000000000000000e+00,-1.186053549154673647e+03,2.802580492992073573e+02,8.334042150763902868e-01
2.389000000000000000e+03,-1.285548992126514577e+03,2.474087117844554200e+02,0.000000000000000000e+00,-1.186191677195132797e+03,2.801783958761625968e+02,8.272098724801342229e-01
2.390000000000000000e+03,-1.287793022660095630e+03,2.467415422246923526e+02,0.000000000000000000e+00,-1.186337633077736882e+03,2.801012249154693450e+02,8.155419386034110651e-01
2.391000000000000000e+03,-1.290037053193676684e+03,2.460743726649292569e+02,0.000000000000000000e+00,-1.207615662427343750e+03,2.741317674300678391e+02,8.086125846370271208e-01
2.392000000000000000e+03,-1.292281083727257737e+03,2.454072031051661895e+02,0.000000000000000000e+00,-1.207743969888271295e+03,2.740244844516386138e+02,7.836079892128879898e-01
2.393000000000000000e+03,-1.294525114262167335e+03,2.447400335446129986e+02,0.000000000000000000e+00,-1.207874978665598519e+03,2.739193133150051835e+02,7.624490004784095776e-01
2.394000000000000000e+03,-1.296769144795748389e+03,2.439616690584861090e+02,0.000000000000000000e+00,-1.208010579395690002e+03,2.738155947951513554e+02,7.379315785592679422e-01
2.395000000000000000e+03,-1.299106676601340496e+03,2.432944994987230416e+02,0.000000000000000000e+00,-1.208161000145177013e+03,2.737092883219724513e+02,7.130035924375182077e-01
2.396000000000000000e+03,-1.301350707136250321e+03,2.426273299389599174e+02,0.000000000000000000e+00,-1.208308207080024431e+03,2.736036011243907637e+02,6.847458738918013044e-01
2.397000000000000000e+03,-1.303594737669831147e+03,2.419601603791968500e+02,0.000000000000000000e+00,-1.208459933660947627e+03,2.734985102664291503e+02,6.574929537547699043e-01
2.398000000000000000e+03,-1.305838768203411973e+03,2.412929908186436592e+02,0.000000000000000000e+00,-1.208623178880109208e+03,2.734029397832668451e+02,6.292611146605561201e-01
2.399000000000000000e+03,-1.308082798736993027e+03,2.406258212588805350e+02,0.000000000000000000e+00,-1.208777337591838204e+03,2.733031332921140688e+02,6.036561312170609650e-01
2.400000000000000000e+03,-1.310326829271902852e+03,2.399586516991174676e+02,0.000000000000000000e+00,-1.208933198759272727e+03,2.731986913438623787e+02,5.783213857117140977e-01
2.401000000000000000e+03,-1.312570859805483906e+03,2.391802872129906063e+02,0.000000000000000000e+00,-1.230151424311642586e+03,2.670917989837428763e+02,5.682770621104881181e-01
2.402000000000000000e+03,-1.314721389067053906e+03,2.385131176532274822e+02,0.000000000000000000e+00,-1.230285594785153535e+03,2.669717927903846544e+02,5.420117722137924865e-01
2.403000000000000000e+03,-1.316965419600634505e+03,2.378459480926742913e+02,0.000000000000000000e+00,-1.230413300087320295e+03,2.668577133923998872e+02,5.277928388457970854e-01
2.404000000000000000e+03,-1.319209450135544557e+03,2.371787785329112239e+02,0.000000000000000000e+00,-1.230541996626814353e+03,2.667451882582553253e+02,5.173677011711544926e-01
2.405000000000000000e+03,-1.321359979397114330e+03,2.365116089731481566e+02,0.000000000000000000e+00,-1.230674634139832278e+03,2.666446500238915291e+02,5.117079160494564238e-01
2.406000000000000000e+03,-1.323604009930695611e+03,2.358444394133850324e+02,0.000000000000000000e+00,-1.230808353646141086e+03,2.665450543784729120e+02,5.078505026123173449e-01
2.407000000000000000e+03,-1.325754539192265383e+03,2.351772698536219650e+02,0.000000000000000000e+00,-1.230942423078746288e+03,2.664555948101678950e+02,5.083629828495896952e-01
2.408000000000000000e+03,-1.327998569725846437e+03,2.345101002938588692e+02,0.000000000000000000e+00,-1.231075371855240064e+03,2.663650026353209341e+02,5.096567657078430180e-01
2.409000000000000000e+03,-1.330149098987416210e+03,2.338429307340958019e+02,0.000000000000000000e+00,-1.231206798909324107e+03,2.662809868086368965e+02,5.142165712015491774e-01
2.410000000000000000e+03,-1.332299628248986210e+03,2.331757611735426394e+02,0.000000000000000000e+00,-1.231328716527905044e+03,2.661951037506431703e+02,5.190521083829171545e-01
2.411000000000000000e+03,-1.334450157510555982e+03,2.325085916137795436e+02,0.000000000000000000e+00,-1.252386293352479697e+03,2.598019562894865544e+02,5.348523481236479027e-01
2.412000000000000000e+03,-1.336600686773454754e+03,2.317302271276526540e+02,0.000000000000000000e+00,-1.252455140940202227e+03,2.597084217711370115e+02,5.339199587926997115e-01
2.413000000000000000e+03,-1.338751216035024754e+03,2.310630575678895298e+02,0.000000000000000000e+00,-1.252525274522900190e+03,2.596265349118872905e+02,5.398771577719302384e-01
2.414000000000000000e+03,-1.340901745296594527e+03,2.302846930809725734e+02,0.000000000000000000e+00,-1.252592892307354077e+03,2.595421690442703380e+02,5.486243767310601260e-01
2.415000000000000000e+03,-1.343052274558164299e+03,2.295063285948456553e+02,0.000000000000000000e+00,-1.252664913114786486e+03,2.594660703356776708e+02,5.567794340884349991e-01
2.416000000000000000e+03,-1.345202803819734299e+03,2.287279641079286705e+02,0.000000000000000000e+00,-1.252733353966727009e+03,2.593870995696486830e+02,5.662388774079791798e-01
2.417000000000000000e+03,-1.347259831809293019e+03,2.279495996218017808e+02,0.000000000000000000e+00,-1.252802776232340420e+03,2.593055913149295293e+02,5.738044362539244103e-01
2.418000000000000000e+03,-1.349410361070863019e+03,2.270600402085209453e+02,0.000000000000000000e+00,-1.252879202001035537e+03,2.592243142816476507e+02,5.830214414224017538e-01
2.419000000000000000e+03,-1.351467389060421965e+03,2.262816757216039321e+02,0.000000000000000000e+00,-1.252952636756894208e+03,2.591469374391348310e+02,5.910155335634115215e-01
2.420000000000000000e+03,-1.353617918321991738e+03,2.253921163091131916e+02,0.000000000000000000e+00,-1.253016866880832140e+03,2.590666209795483041e+02,6.000415062357018492e-01
2.421000000000000000e+03,-1.355674946311550684e+03,2.245025568958324129e+02,0.000000000000000000e+00,-1.273797530665561681e+03,2.520414553194361247e+02,6.146164404791728542e-01
2.422000000000000000e+03,-1.357731974301109403e+03,2.235018025561877835e+02,0.000000000000000000e+00,-1.273831585402262135e+03,2.519492286020467020e+02,6.156089078080719812e-01
2.423000000000000000e+03,-1.359695501017328525e+03,2.226122431429069763e+02,0.000000000000000000e+00,-1.273870718775251135e+03,2.518596596151946585e+02,6.201583939293513481e-01
2.424000000000000000e+03,-1.361752529006887244e+03,2.217226837296261976e+02,0.000000000000000000e+00,-1.273925776614676806e+03,2.517649545522405390e+02,6.265805670265891525e-01
2.425000000000000000e+03,-1.363809556996445963e+03,2.207219293899815682e+02,0.000000000000000000e+00,-1.273986494544881225e+03,2.516682854347760667e+02,6.319744055902654090e-01
2.426000000000000000e+03,-1.365773083713993856e+03,2.197211750495468152e+02,0.000000000000000000e+00,-1.274050852015900773e+03,2.515611956343549593e+02,6.379462763896148747e-01
2.427000000000000000e+03,-1.367830111703552802e+03,2.187204207099021858e+02,0.000000000000000000e+00,-1.274124158559742455e+03,2.514531691474428499e+02,6.423976637692609959e-01
2.428000000000000000e+03,-1.369793638421100241e+03,2.176084714438937624e+02,0.000000000000000000e+00,-1.274206782044189140e+03,2.513422423311915850e+02,6.472373732261785806e-01
2.429000000000000000e+03,-1.371757165137319362e+03,2.166077171042491329e+02,0.000000000000000000e+00,-1.274293653925609988e+03,2.512236832809612110e+02,6.500138390570922020e-01
2.430000000000000000e+03,-1.373720691854867027e+03,2.154957678374506145e+02,0.000000000000000000e+00,-1.274381275493822841e+03,2.510950204772821337e+02,6.521767603480019826e-01
2.431000000000000000e+03,-1.375684218572414920e+03,2.144950134978059566e+02,0.000000000000000000e+00,-1.294782952838890878e+03,2.431680253362440851e+02,6.612570690378382077e-01
2.432000000000000000e+03,-1.377554244016622988e+03,2.132718693046436158e+02,0.000000000000000000e+00,-1.294848566505711233e+03,2.430154484094930467e+02,6.538482411789066084e-01
2.433000000000000000e+03,-1.379517770734170426e+03,2.121599200378450689e+02,0.000000000000000000e+00,-1.294918796234903311e+03,2.428551056927725256e+02,6.518662158568229170e-01
2.434000000000000000e+03,-1.381387796179707038e+03,2.110479707718365887e+02,0.000000000000000000e+00,-1.294991173437572115e+03,2.426937664985705396e+02,6.474674977603009918e-01
2.435000000000000000e+03,-1.383351322895926160e+03,2.098248265786742763e+02,0.000000000000000000e+00,-1.295063237989351137e+03,2.425328538159799336e+02,6.449064042681948994e-01
2.436000000000000000e+03,-1.385221348341462999e+03,2.084904874591481132e+02,0.000000000000000000e+00,-1.295139599517110582e+03,2.423651126067574353e+02,6.383920473629740577e-01
2.437000000000000000e+03,-1.387091373785670612e+03,2.072673432659857440e+02,0.000000000000000000e+00,-1.295220154463460858e+03,2.422043579678664287e+02,6.333214487395949499e-01
