时间(s),真实位置X(m),真实位置Y(m),真实位置Z(m),UKF估计位置X(m),UKF估计位置Y(m),UKF估计位置Z(m)
7.506000000000000000e+03,-5.330040024449360317e+03,-3.268908453496790571e+03,0.000000000000000000e+00,-5.337974110234372347e+03,-3.275688536432291585e+03,-2.233815786621080879e-02
7.507000000000000000e+03,-5.330133525721370461e+03,-3.268908453496790571e+03,0.000000000000000000e+00,-5.337981047743061936e+03,-3.275692662736511920e+03,-2.302810217630971157e-02
7.508000000000000000e+03,-5.330227026993381514e+03,-3.268908453496790571e+03,0.000000000000000000e+00,-5.337987958905123378e+03,-3.275697161476013207e+03,-2.372298620461955887e-02
7.509000000000000000e+03,-5.330227026993381514e+03,-3.268797258569637052e+03,0.000000000000000000e+00,-5.337994845299133885e+03,-3.275702035580081429e+03,-2.442304211404472403e-02
7.510000000000000000e+03,-5.330227026993381514e+03,-3.268797258569637052e+03,0.000000000000000000e+00,-5.338001708446819976e+03,-3.275707287134373473e+03,-2.512858573356295533e-02
7.511000000000000000e+03,-5.330320528265392568e+03,-3.268797258569637052e+03,0.000000000000000000e+00,-5.338229052238398253e+03,-3.275580838832854624e+03,-2.088132275029729382e-02
7.512000000000000000e+03,-5.330320528265392568e+03,-3.268797258569637052e+03,0.000000000000000000e+00,-5.338237424061011552e+03,-3.275582456338448537e+03,-2.186731365761414303e-02
7.513000000000000000e+03,-5.330320528265392568e+03,-3.268686063643273428e+03,0.000000000000000000e+00,-5.338245785057097237e+03,-3.275584340194474862e+03,-2.285962236979297013e-02
7.514000000000000000e+03,-5.330414029537403621e+03,-3.268686063643273428e+03,0.000000000000000000e+00,-5.338254136155301239e+03,-3.275586491461615879e+03,-2.385826130273768775e-02
7.515000000000000000e+03,-5.330414029537403621e+03,-3.268686063643273428e+03,0.000000000000000000e+00,-5.338262478424381698e+03,-3.275588912758101287e+03,-2.486252650753867366e-02
7.516000000000000000e+03,-5.330507530809414675e+03,-3.268686063643273428e+03,0.000000000000000000e+00,-5.338270813153765630e+03,-3.275591604798455592e+03,-2.587303429803020083e-02
7.517000000000000000e+03,-5.330507530809414675e+03,-3.268686063643273428e+03,0.000000000000000000e+00,-5.338279141291935957e+03,-3.275594568842476292e+03,-2.688959844728566750e-02
7.518000000000000000e+03,-5.330507530809414675e+03,-3.268686063643273428e+03,0.000000000000000000e+00,-5.338287464036071469e+03,-3.275597807337639097e+03,-2.791232031441902295e-02
7.519000000000000000e+03,-5.330601032082753591e+03,-3.268574868716909350e+03,0.000000000000000000e+00,-5.338295782456269080e+03,-3.275601320863825094e+03,-2.894127371829743889e-02
7.520000000000000000e+03,-5.330601032082753591e+03,-3.268574868716909350e+03,0.000000000000000000e+00,-5.338304097661635751e+03,-3.275605111469516487e+03,-2.997628123875961670e-02
7.521000000000000000e+03,-5.330601032082753591e+03,-3.268574868716909350e+03,0.000000000000000000e+00,-5.338517258880393456e+03,-3.275459011138957521e+03,-1.741166566420498940e-02
7.522000000000000000e+03,-5.330694533354765554e+03,-3.268574868716909350e+03,0.000000000000000000e+00,-5.338524280223802634e+03,-3.275459447450981315e+03,-1.840236672771483617e-02
7.523000000000000000e+03,-5.330694533354765554e+03,-3.268574868716909350e+03,0.000000000000000000e+00,-5.338531200987548800e+03,-3.275460074412312679e+03,-1.939862659910267240e-02
7.524000000000000000e+03,-5.330694533354765554e+03,-3.268574868716909350e+03,0.000000000000000000e+00,-5.338538021532200219e+03,-3.275460892636170684e+03,-2.040039470145760259e-02
7.525000000000000000e+03,-5.330788034626776607e+03,-3.268463673789755831e+03,0.000000000000000000e+00,-5.338544741829748091e+03,-3.275461902493867456e+03,-2.140838469404417188e-02
